# Note - Full 9 minute fly of continous maneuvers. Snakes, Wall, Diamond Loops, piro-flips, funnels, piro circles, piro-flip circles, aileron tic-tocs, elevator tic-tocs, continous forward flips, and many combo maneuvers. Motor temperature at end of flight was 125F. Battery was 101F.
# Graph Data - 1 Sessions - Saved Wednesday, September 29, 2010
# Start Of Session - Sample Time: 0.200
# Reset Source (Cause of reset):  Normal Boot-up Sequence
# Idle Times: 
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       
True        , True        , True        , True        , True        , True        , True        
1.7774      , 85.490      , 40.15       , 0.845       , 17.9        , 104.1       , 97222       
1.7774      , 85.490      , 40.15       , 0.634       , 17.1        , 99.9        , 97222       
1.7774      , 85.882      , 40.15       , 0.845       , 17.1        , 99.9        , 97222       
1.7852      , 87.059      , 40.15       , 0.845       , 17.9        , 97.4        , 96305       
1.7931      , 87.843      , 40.15       , 1.057       , 20.4        , 98.2        , 95405       
1.7931      , 88.235      , 40.15       , 1.057       , 22.8        , 91.0        , 94522       
1.7931      , 88.235      , 39.94       , 1.268       , 27.7        , 99.9        , 92803       
1.7931      , 88.235      , 39.72       , 1.479       , 35.8        , 99.9        , 91146       
1.7852      , 87.451      , 39.72       , 1.690       , 39.9        , 99.1        , 89156       
1.7774      , 85.882      , 39.94       , 1.690       , 38.3        , 99.9        , 89547       
1.7774      , 86.275      , 39.94       , 1.479       , 31.8        , 95.0        , 91146       
1.7931      , 88.235      , 39.94       , 1.268       , 31.0        , 99.9        , 92803       
1.8009      , 89.020      , 39.72       , 1.479       , 33.4        , 99.9        , 91967       
1.7931      , 87.451      , 39.72       , 1.690       , 39.1        , 99.9        , 90339       
1.7696      , 85.098      , 39.94       , 1.057       , 32.6        , 99.9        , 91146       
1.7852      , 86.667      , 39.72       , 1.268       , 28.5        , 99.9        , 91967       
1.7852      , 87.059      , 39.72       , 1.057       , 27.7        , 93.4        , 92803       
1.7931      , 87.843      , 39.94       , 1.268       , 28.5        , 102.4       , 92803       
1.7931      , 87.843      , 39.72       , 0.845       , 28.5        , 100.7       , 92803       
1.8009      , 89.020      , 39.72       , 1.690       , 35.0        , 99.9        , 89941       
1.7931      , 88.235      , 39.30       , 2.113       , 48.9        , 99.9        , 87251       
1.7696      , 85.882      , 39.94       , 1.479       , 42.4        , 104.1       , 89547       
1.7931      , 87.451      , 39.72       , 1.268       , 33.4        , 100.7       , 91967       
1.8009      , 89.412      , 39.51       , 1.057       , 32.6        , 100.7       , 92803       
1.8166      , 90.588      , 39.09       , 1.690       , 43.2        , 100.7       , 89941       
1.7931      , 89.020      , 39.51       , 2.113       , 54.6        , 100.7       , 88384       
1.7774      , 86.667      , 39.72       , 1.057       , 38.3        , 101.6       , 92803       
1.7696      , 85.098      , 39.94       , 1.057       , 26.9        , 101.6       , 93654       
1.7852      , 86.667      , 39.72       , 0.845       , 22.8        , 101.6       , 94086       
1.7852      , 87.059      , 39.72       , 1.057       , 23.6        , 103.3       , 93654       
1.7852      , 87.451      , 39.72       , 1.057       , 24.4        , 102.4       , 93227       
1.7931      , 87.451      , 39.72       , 0.845       , 26.1        , 102.4       , 93227       
1.7852      , 87.059      , 39.72       , 1.268       , 27.7        , 102.4       , 91967       
1.7852      , 87.059      , 39.72       , 1.690       , 31.0        , 102.4       , 90339       
1.7696      , 85.098      , 39.94       , 1.479       , 31.0        , 100.7       , 89547       
1.7774      , 86.275      , 39.72       , 1.479       , 31.8        , 102.4       , 89941       
1.7931      , 87.843      , 39.72       , 1.479       , 34.2        , 102.4       , 90741       
1.8009      , 89.020      , 39.72       , 1.479       , 34.2        , 102.4       , 91967       
1.8009      , 89.020      , 39.30       , 1.268       , 37.5        , 102.4       , 91146       
1.7852      , 87.451      , 39.72       , 1.268       , 38.3        , 102.4       , 91146       
1.7774      , 85.882      , 39.72       , 0.845       , 30.1        , 102.4       , 92383       
1.7696      , 85.098      , 39.72       , 0.845       , 25.2        , 102.4       , 92803       
1.7774      , 86.275      , 39.72       , 1.268       , 23.6        , 103.3       , 93227       
1.7774      , 86.275      , 39.94       , 1.057       , 24.4        , 103.3       , 93227       
1.7852      , 86.667      , 39.72       , 0.845       , 24.4        , 104.1       , 93227       
1.7852      , 87.059      , 39.72       , 1.057       , 25.2        , 102.4       , 92803       
1.7774      , 86.275      , 39.94       , 1.057       , 26.9        , 95.0        , 91967       
1.7696      , 85.098      , 39.72       , 1.268       , 25.2        , 103.3       , 91967       
1.7852      , 86.667      , 39.72       , 1.268       , 26.1        , 103.3       , 91555       
1.7931      , 87.843      , 39.51       , 1.268       , 30.1        , 102.4       , 91555       
1.8009      , 89.412      , 39.51       , 1.479       , 33.4        , 103.3       , 92383       
1.8087      , 89.412      , 39.51       , 1.690       , 39.9        , 102.4       , 90741       
1.8009      , 89.020      , 39.30       , 1.479       , 43.2        , 103.3       , 90339       
1.7931      , 87.451      , 39.51       , 1.057       , 35.8        , 103.3       , 92383       
1.7852      , 86.667      , 39.72       , 0.845       , 28.5        , 103.3       , 94086       
1.7774      , 85.490      , 39.94       , 0.845       , 21.2        , 103.3       , 95853       
1.7774      , 85.490      , 39.94       , 0.845       , 18.7        , 107.7       , 96761       
1.7774      , 85.490      , 39.94       , 0.845       , 17.1        , 103.3       , 96761       
